event_id,report,capture_id,track_id,date,radio,channel,edge,observation_mode,gain_mode,configured_gain_db,sample_rate_hz,nominal_rf_hz,observation_count,dual_valid_count,consensus_count,duration_s,dual_duration_s,doppler_drift_hz_s,doppler_fit_rms_hz,seed_score,best_weak_receiver_margin,median_weak_receiver_margin,median_score_margin,median_exact_correlation,median_control_correlation,median_template_discrimination_db,median_matched_filter_snr_proxy_db,median_formal_frequency_sigma_hz,capture_rms_rx0_dbfs,capture_rms_rx1_dbfs,dual_valid,strong,long,slope_qualified
ch4-lower-edge-narrow-20260807T053328Z::track-000,ch4-lower-edge-narrow-20260807T053328Z.json,ch4-lower-edge-narrow-20260807T053328Z,track-000,2026-08-07,pluto://ip:192.168.2.1,4,lower,narrow,slow_attack,,2500000.0,11459687500.0,3,3,3,0.20331019547826656,0.20331019547826656,-4190.865208988599,4.655930439879681,0.8334976632565894,0.42844138742139326,0.40867888662832674,0.4167488316282947,0.4314380723968283,0.014689240768533677,28.775665828451032,-6.408048411507135,36.17864448578276,-12.513483607311464,-12.422970467263546,True,True,False,True
ch4-lower-edge-narrow-pluto-5d4d-20260812T093806Z::track-002,ch4-lower-edge-narrow-pluto-5d4d-20260812T093806Z.json,ch4-lower-edge-narrow-pluto-5d4d-20260812T093806Z,track-002,2026-08-12,pluto-5d4d,4,lower,narrow,slow_attack,,2500000.0,11459687500.0,33,33,33,3.6853135028571424,3.6853135028571424,-7426.438757801652,51.92679750164921,0.9213845066168512,0.4499622434057511,0.3869865425401622,0.4118172823302666,0.42715701576859577,0.015241066324290294,28.581645098640735,-6.513323017502135,29.480613146424325,-12.716718195499517,-12.504168089476753,True,True,False,True
ch4-lower-edge-narrow-20260808T165225Z::track-003,ch4-lower-edge-narrow-20260808T165225Z.json,ch4-lower-edge-narrow-20260808T165225Z,track-003,2026-08-08,pluto://ip:192.168.2.1,4,lower,narrow,slow_attack,,2500000.0,11459687500.0,126,126,126,13.799999999999999,13.799999999999999,-3845.7566672156718,305.8339617778324,0.48194674289293526,0.4631812281882211,0.3974379705676439,0.41111407585101756,0.4267151466776309,0.014807054204433276,29.164793036248177,-6.524316362936566,50.0,-12.638176035846149,-12.371667743020435,True,True,True,True
ch4-lower-edge-narrow-20260807T051220Z::track-005,ch4-lower-edge-narrow-20260807T051220Z.json,ch4-lower-edge-narrow-20260807T051220Z,track-005,2026-08-07,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,9,9,9,1.0255571999999944,1.0255571999999944,-4304.35605505256,49.7131023696622,0.46969769388098703,0.4532557196731039,0.40103662660166767,0.40214093599721756,0.4176082348165205,0.014852821592427349,28.9339939442198,-6.752339117172371,37.628989320707575,-26.05681898812025,-30.85986723219383,True,True,False,True
ch4-lower-edge-narrow-20260806T100812Z::track-001,ch4-lower-edge-narrow-20260806T100812Z-utc-replay.json,ch4-lower-edge-narrow-20260806T100812Z,track-001,2026-08-06,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,9,9,9,0.9711053333333304,0.9711053333333304,-4259.38819658848,42.14307124308979,0.8547248382115925,0.4163182618635484,0.39705426579186565,0.4013265966902983,0.4166815882267956,0.0149112962432356,29.103930867183887,-6.776007236790397,22.195442424823064,-27.3039364932964,-32.14093012156758,True,True,False,True
ch4-lower-edge-narrow-20260806T133048Z::track-002,ch4-lower-edge-narrow-20260806T133048Z.json,ch4-lower-edge-narrow-20260806T133048Z,track-002,2026-08-07,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,4,4,4,0.7162576727272594,0.7162576727272594,-3775.978875092179,7.394451445599123,0.7707403783723996,0.4153509444972354,0.3888725916438415,0.39830149511941293,0.4137573721422353,0.015443130012026858,28.160777222005677,-6.849702474936919,39.09175347963686,-27.47980601939643,-32.36327156968683,True,True,False,True
ch4-lower-edge-narrow-20260806T131318Z::track-002,ch4-lower-edge-narrow-20260806T131318Z.json,ch4-lower-edge-narrow-20260806T131318Z,track-002,2026-08-07,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,10,10,10,0.9745100576823376,0.9745100576823376,-4188.547857016521,12.368022232081909,0.5702313392076356,0.4113172051462737,0.3661290167651091,0.39581105261014876,0.41113434245351044,0.015042676457651049,28.695916438574553,-6.916311470878397,43.90188752765601,-27.282098834717456,-32.16778871096167,True,True,False,True
ch4-lower-edge-narrow-20260806T055241Z::track-001,ch4-lower-edge-narrow-20260806T055241Z-dense15.json,ch4-lower-edge-narrow-20260806T055241Z,track-001,2026-08-06,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,51,51,51,24.299999999999997,24.299999999999997,-4206.75095524228,449.31877335627604,0.4535199238160489,0.4604731621881166,0.38793534208401675,0.39496026641717863,0.41030199898673947,0.015211069882079313,28.178111032429634,-6.937357683143059,50.0,-26.51988659221207,-31.544669280749137,True,True,True,True
ch4-lower-edge-narrow-20260806T094123Z::track-004,ch4-lower-edge-narrow-20260806T094123Z.json,ch4-lower-edge-narrow-20260806T094123Z,track-004,2026-08-06,pluto://ip:192.168.2.1,4,lower,narrow,slow_attack,,2500000.0,11459687500.0,10,10,10,0.9712595666666459,0.9712595666666459,-4070.0972512190633,47.41077824341576,0.8530012678460135,0.420500328119843,0.3786059748475038,0.3920387189580033,0.4071847757746564,0.01476120944517395,28.60968691361535,-7.017558155379293,22.438146091819036,-12.5442676813229,-12.38791259683242,True,True,False,True
ch4-lower-edge-narrow-20260805T204919Z::track-002,ch4-lower-edge-narrow-20260805T204919Z-dense15.json,ch4-lower-edge-narrow-20260805T204919Z,track-002,2026-08-06,pluto://ip:192.168.2.1,4,lower,,manual,50.0,2500000.0,11459687500.0,53,53,53,25.0,25.0,-4163.511565624737,320.34577458837816,0.8042045235782416,0.4332724146112752,0.36864289836017755,0.3911420587205231,0.4062333817795981,0.015253640599035116,28.294126160738955,-7.0412237952962835,50.0,,,True,True,True,True
ch4-lower-edge-narrow-20260806T035221Z::track-000,ch4-lower-edge-narrow-20260806T035221Z-dense15.json,ch4-lower-edge-narrow-20260806T035221Z,track-000,2026-08-06,pluto://ip:192.168.2.1,4,lower,narrow,manual,50.0,2500000.0,11459687500.0,91,91,91,36.7,36.7,-4064.03902171323,926.8840659008608,0.6709557576326308,0.44165767468704914,0.3607038911815876,0.38527730789415826,0.40214947300435266,0.01561194628579018,27.80051856585783,-7.1461192487858,50.0,-27.02666702749783,-31.930526921389685,True,True,True,True
